Date,cve_station,cve_parameter,value,unit,nom_estac,longitud,latitud,alt,obs_estac,id_station
16/11/2005,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
22/11/2005,MER,PM2.5,33,2,Merced,-99.119594,19.42461,2245.0,,484090170127
28/11/2005,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
04/12/2005,MER,PM2.5,34,2,Merced,-99.119594,19.42461,2245.0,,484090170127
10/12/2005,MER,PM2.5,46,2,Merced,-99.119594,19.42461,2245.0,,484090170127
16/12/2005,MER,PM2.5,13,2,Merced,-99.119594,19.42461,2245.0,,484090170127
05/01/2006,MER,PM2.5,31,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/01/2006,MER,PM2.5,39,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/01/2006,MER,PM2.5,20,2,Merced,-99.119594,19.42461,2245.0,,484090170127
23/01/2006,MER,PM2.5,24,2,Merced,-99.119594,19.42461,2245.0,,484090170127
29/01/2006,MER,PM2.5,30,2,Merced,-99.119594,19.42461,2245.0,,484090170127
04/02/2006,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
16/02/2006,MER,PM2.5,43,2,Merced,-99.119594,19.42461,2245.0,,484090170127
22/02/2006,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
28/02/2006,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
06/03/2006,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
18/03/2006,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
24/03/2006,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
30/03/2006,MER,PM2.5,27,2,Merced,-99.119594,19.42461,2245.0,,484090170127
05/04/2006,MER,PM2.5,30,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/04/2006,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/04/2006,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
05/05/2006,MER,PM2.5,42,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/05/2006,MER,PM2.5,27,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/05/2006,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
23/05/2006,MER,PM2.5,34,2,Merced,-99.119594,19.42461,2245.0,,484090170127
29/05/2006,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
04/06/2006,MER,PM2.5,14,2,Merced,-99.119594,19.42461,2245.0,,484090170127
16/06/2006,MER,PM2.5,24,2,Merced,-99.119594,19.42461,2245.0,,484090170127
22/06/2006,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
28/06/2006,MER,PM2.5,12,2,Merced,-99.119594,19.42461,2245.0,,484090170127
04/07/2006,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
10/07/2006,MER,PM2.5,16,2,Merced,-99.119594,19.42461,2245.0,,484090170127
16/07/2006,MER,PM2.5,10,2,Merced,-99.119594,19.42461,2245.0,,484090170127
22/07/2006,MER,PM2.5,11,2,Merced,-99.119594,19.42461,2245.0,,484090170127
28/07/2006,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
09/08/2006,MER,PM2.5,9,2,Merced,-99.119594,19.42461,2245.0,,484090170127
15/08/2006,MER,PM2.5,16,2,Merced,-99.119594,19.42461,2245.0,,484090170127
21/08/2006,MER,PM2.5,14,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/09/2006,MER,PM2.5,16,2,Merced,-99.119594,19.42461,2245.0,,484090170127
08/09/2006,MER,PM2.5,29,2,Merced,-99.119594,19.42461,2245.0,,484090170127
14/09/2006,MER,PM2.5,6,2,Merced,-99.119594,19.42461,2245.0,,484090170127
20/09/2006,MER,PM2.5,9,2,Merced,-99.119594,19.42461,2245.0,,484090170127
26/09/2006,MER,PM2.5,9,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/10/2006,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
08/10/2006,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
14/10/2006,MER,PM2.5,10,2,Merced,-99.119594,19.42461,2245.0,,484090170127
20/10/2006,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
26/10/2006,MER,PM2.5,29,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/11/2006,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/11/2006,MER,PM2.5,32,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/11/2006,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
25/11/2006,MER,PM2.5,39,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/12/2006,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
07/12/2006,MER,PM2.5,33,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/12/2006,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/12/2006,MER,PM2.5,41,2,Merced,-99.119594,19.42461,2245.0,,484090170127
25/12/2006,MER,PM2.5,62,2,Merced,-99.119594,19.42461,2245.0,,484090170127
06/01/2007,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
18/01/2007,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
24/01/2007,MER,PM2.5,13,2,Merced,-99.119594,19.42461,2245.0,,484090170127
30/01/2007,MER,PM2.5,14,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/02/2007,MER,PM2.5,27,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/02/2007,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
23/02/2007,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/03/2007,MER,PM2.5,26,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/03/2007,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/03/2007,MER,PM2.5,18,2,Merced,-99.119594,19.42461,2245.0,,484090170127
